_id,casa circondariale,anno_rilevazione_detenuti,indicatori,detenuti
128,Casa di Reclusione Bollate,2018,Detenuti presenti al 31.12,1277
129,Casa di Reclusione Bollate,2018,detenuti stranieri totale,413
130,Casa di Reclusione Bollate,2018,detenuti stranieri Ue,47
131,Casa di Reclusione Bollate,2018,detenuti stranieri Ex Jugoslavia,20
132,Casa di Reclusione Bollate,2018,detenuti stranieri Albania,46
133,Casa di Reclusione Bollate,2018,detenuti stranieri Altri paesi europei,10
134,Casa di Reclusione Bollate,2018,detenuti stranieri Tunisia,19
135,Casa di Reclusione Bollate,2018,detenuti stranieri Marocco,81
136,Casa di Reclusione Bollate,2018,detenuti stranieri Algeria,5
137,Casa di Reclusione Bollate,2018,detenuti stranieri Nigeria,3
138,Casa di Reclusione Bollate,2018,detenuti stranieri Altri paesi africani,35
139,Casa di Reclusione Bollate,2018,detenuti stranieri Medio oriente,3
140,Casa di Reclusione Bollate,2018,detenuti stranieri Altri paesi asiatici,36
141,Casa di Reclusione Bollate,2018,detenuti stranieri Nord America,1
142,Casa di Reclusione Bollate,2018,detenuti stranieri Centro America,26
143,Casa di Reclusione Bollate,2018,detenuti stranieri Sud America,80
144,Casa di Reclusione Bollate,2018,detenuti stranieri Altra provenienza,1
145,Casa di Reclusione Opera,2018,Capienza regolamentare,918
146,Casa di Reclusione Opera,2018,Detenuti presenti al 31.12,1351
147,Casa di Reclusione Opera,2018,detenuti stranieri totale,347
148,Casa di Reclusione Opera,2018,detenuti stranieri Ue,41
149,Casa di Reclusione Opera,2018,detenuti stranieri Ex Jugoslavia,12
150,Casa di Reclusione Opera,2018,detenuti stranieri Albania,66
151,Casa di Reclusione Opera,2018,detenuti stranieri Altri paesi europei,7
152,Casa di Reclusione Opera,2018,detenuti stranieri Tunisia,27
153,Casa di Reclusione Opera,2018,detenuti stranieri Marocco,77
154,Casa di Reclusione Opera,2018,detenuti stranieri Algeria,5
155,Casa di Reclusione Opera,2018,detenuti stranieri Nigeria,1
156,Casa di Reclusione Opera,2018,detenuti stranieri Altri paesi africani,30
157,Casa di Reclusione Opera,2018,detenuti stranieri Medio oriente,3
158,Casa di Reclusione Opera,2018,detenuti stranieri Altri paesi asiatici,28
159,Casa di Reclusione Opera,2018,detenuti stranieri Nord America,1
160,Casa di Reclusione Opera,2018,detenuti stranieri Centro America,13
