Anno;Cittadinanza;Continente;Genere;Residenti
1988;Altre nazioni o n.d.;None;Maschi;97
1988;Angola;Africa;Maschi;1
1988;Antigua e Barbuda;Centro America;Maschi;1
1988;Apolide;None;Femmine;26
1988;Apolide;None;Maschi;49
1988;Saudi Arabia;Asia;Femmine;2
1988;Saudi Arabia;Asia;Maschi;5
1988;Area Ex-Urss;Europa;Femmine;33
1988;Area Ex-Urss;Europa;Maschi;26
1988;Argentina;Sud America;Femmine;188
1988;Argentina;Sud America;Maschi;213
1988;Australia;Oceania;Femmine;49
1988;Australia;Oceania;Maschi;39
1988;Austria;Europa;Femmine;300
1988;Austria;Europa;Maschi;247
1988;Bahamas;Centro America;Femmine;1
1988;Bangladesh;Asia;Femmine;3
1988;Bangladesh;Asia;Maschi;13
1988;Belgium;Europa;Femmine;143
1988;Belgium;Europa;Maschi;106
1988;Benin (ex Dahomey);Africa;Maschi;1
1988;Bolivia;Sud America;Femmine;13
1988;Bolivia;Sud America;Maschi;6
1988;Brazil;Sud America;Femmine;248
1988;Brazil;Sud America;Maschi;178
1988;Bulgaria;Europa;Femmine;42
1988;Bulgaria;Europa;Maschi;48
1988;Burkina Faso (ex Alto Volta);Africa;Maschi;1
1988;Burundi;Africa;Femmine;3
1988;Burundi;Africa;Maschi;7
1988;Cambodia;Asia;Femmine;1
1988;Cameroon;Africa;Femmine;13
1988;Cameroon;Africa;Maschi;22
1988;Canada;Nord America;Femmine;65
1988;Canada;Nord America;Maschi;71
1988;Cape Verde;Africa;Femmine;57
1988;Cape Verde;Africa;Maschi;12
1988;Czechoslovakia;Europa;Femmine;51
1988;Czechoslovakia;Europa;Maschi;45
1988;Central African Republic.;Africa;Maschi;1
1988;Chile;Sud America;Femmine;74
1988;Chile;Sud America;Maschi;62
1988;China;Asia;Femmine;637
1988;China;Asia;Maschi;871
1988;Cyprus;Europa;Femmine;11
1988;Cyprus;Europa;Maschi;28
1988;Colombia;Sud America;Femmine;56
1988;Colombia;Sud America;Maschi;42
1988;Congo;Africa;Femmine;5
1988;Congo;Africa;Maschi;2
1988;Congo Rep. Dem (ex Zaire);Africa;Femmine;3
1988;Congo Rep. Dem (ex Zaire);Africa;Maschi;17
1988;North Korea;Asia;Femmine;2
1988;North Korea;Asia;Maschi;2
1988;South Korea;Asia;Femmine;98
1988;South Korea;Asia;Maschi;82
1988;Ivory Coast;Africa;Femmine;12
1988;Ivory Coast;Africa;Maschi;38
1988;Costa Rica;Centro America;Femmine;8
1988;Costa Rica;Centro America;Maschi;2
1988;Cuba;Centro America;Femmine;9
1988;Cuba;Centro America;Maschi;10
