_id,anno_rilevamento_reato,Reati_denunciati_tipologia,reati_denunciati
268,2019,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",31
269,2019,Usura,2
270,2019,Danneggiamenti,15921
271,2019,Incendi totale,96
272,2019,Incendi boschivi,0
273,2019,Danneggiamento seguito da incendio,145
274,2019,Normativa sugli stupefacenti,2154
275,2019,Attentati,4
276,2019,Associazione per delinquere,9
277,2019,Associazione di tipo mafioso,3
278,2019,Contrabbando,1
279,2019,Altri delitti,17818
280,2019,Reati totale,137709
281,2018,Strage,1
282,2018,Omicidi volontari totale,6
283,2018,Omicidi a scopo di furto o rapina,1
284,2018,Omicidi di tipo mafioso,0
285,2018,Omicidi a scopo terroristico,0
286,2018,Tentati omicidi,41
287,2018,Infanticidi,2
288,2018,Omicidi preterintenzionali,1
289,2018,Omicidi colposi totale,45
290,2018,Omicidi colposi da incidente stradale,26
291,2018,Percosse,519
292,2018,Lesioni dolose,2132
293,2018,Minacce,1882
294,2018,Sequestri di persona,28
295,2018,Ingiurie,""
296,2018,Violenze sessuali,316
297,2018,Atti sessuali con minorenne,15
298,2018,Corruzione di minorenne,4
299,2018,Sfruttamento e favoreggiamento della prostituzione,16
300,2018,Pornografia minorile e detenzione di materiale pedopornografico,25
301,2018,Furti,89773
302,2018,furti con strappo,1634
303,2018,Furti  con destrezza,24717
304,2018,Furti  in abitazioni,6267
305,2018,Furti  in esercizi commerciali,6326
306,2018,Furti  in auto in sosta,11287
307,2018,Furti  di opere d'arte e materiale archeologico,10
308,2018,Furti di automezzi pesanti trasportanti merci,9
309,2018,Furti di ciclomotori,618
310,2018,Furti di motocicli,2592
311,2018,Furti di autovetture,5372
312,2018,Rapine totale,2485
313,2018,Rapine in abitazione,73
314,2018,Rapine in banca,6
315,2018,Rapine in uffici postali,0
316,2018,Rapine in esercizi commerciali,259
317,2018,Rapine in pubblica via,1731
318,2018,Estorsioni,579
319,2018,Truffe e frodi informatiche,9626
320,2018,Delitti informatici,556
321,2018,Contraffazione di marchi e prodotti industriali,191
